transaction_id,transaction_date,member_id,book_id,quantity,discount_percent,store_id
1,2019-10-05,260,182,3,20,1
2,2019-12-22,292,226,1,0,2
3,2019-03-09,30,215,1,5,3
4,2020-02-12,185,236,2,0,4
5,2021-03-23,238,211,1,15,5
6,2021-02-01,16,175,3,5,3
7,2022-04-16,91,115,2,10,6
8,2023-03-14,84,89,3,20,7
9,2021-03-02,146,24,1,0,2
10,2023-10-22,293,219,3,0,3
11,2022-08-27,106,58,3,5,7
12,2019-09-28,5,6,1,15,6
13,2020-05-31,5,154,2,10,3
14,2021-02-10,141,183,2,20,1
15,2021-08-13,130,118,3,0,3
16,2019-07-29,204,134,3,0,8
17,2022-08-18,192,170,3,10,5
18,2019-08-10,153,73,1,5,9
19,2020-10-27,142,87,2,20,9
20,2019-11-04,153,67,1,10,3
21,2021-04-07,30,231,2,15,8
22,2019-02-22,72,175,2,15,4
23,2021-04-08,133,76,3,5,1
24,2022-03-17,299,10,1,20,4
25,2021-12-30,114,88,2,15,9
26,2020-09-06,184,233,1,20,5
27,2020-08-24,286,216,2,0,10
28,2023-07-14,133,33,1,10,4
29,2019-07-02,172,243,2,0,9
30,2023-06-03,158,58,2,0,1
31,2021-08-07,300,67,1,20,7
32,2022-04-10,28,121,3,10,9
33,2021-10-21,242,19,3,0,3
34,2021-04-26,272,98,1,0,7
35,2021-04-18,103,36,2,10,11
36,2020-01-05,162,37,1,20,4
37,2019-12-29,171,125,3,0,9
38,2020-07-14,3,15,1,0,6
39,2023-05-28,82,148,1,20,6
40,2021-05-29,223,34,2,5,9
41,2019-01-10,245,248,3,0,1
42,2020-10-21,192,52,3,20,2
43,2019-01-09,10,49,3,15,9
44,2023-12-02,116,64,2,0,4
45,2021-10-27,53,34,2,10,1
46,2020-09-02,34,43,2,0,2
47,2021-12-09,267,187,2,0,8
48,2021-09-30,69,228,1,0,11
49,2020-04-12,207,43,3,0,2
50,2019-02-14,109,34,3,10,4
51,2022-12-27,64,44,1,15,11
52,2022-06-30,131,97,3,0,5
53,2023-09-09,56,13,1,0,9
54,2021-06-28,60,177,1,5,1
55,2022-12-08,130,141,1,0,6
56,2021-05-11,5,178,1,15,7
57,2022-06-29,267,170,3,10,7
58,2021-11-13,215,36,3,15,12
59,2023-05-27,145,31,2,0,12
60,2023-08-30,103,51,1,10,7
61,2019-11-25,210,92,3,0,7
62,2021-09-11,107,128,1,0,4
63,2019-07-02,7,1,3,0,9
64,2019-07-04,253,172,3,20,10
65,2022-08-12,52,20,2,0,7
66,2019-04-13,136,76,1,0,6
67,2021-01-07,21,224,3,20,7
68,2019-08-26,219,81,1,0,4
69,2022-08-18,71,3,2,0,9
70,2020-07-03,225,92,1,15,8
71,2019-08-22,176,96,2,5,10
72,2023-09-08,234,247,3,5,7
73,2022-08-21,245,218,1,20,1
74,2023-01-27,68,29,1,0,4
75,2021-09-15,214,27,3,20,8
76,2022-06-05,225,174,2,5,10
77,2023-09-14,15,157,1,15,9
78,2021-04-22,250,124,1,5,12
79,2020-10-05,134,17,3,0,9
80,2022-03-26,269,223,3,15,4
81,2021-12-07,174,58,3,15,5
82,2022-09-17,49,159,1,15,1
83,2022-10-17,178,124,2,15,9
84,2019-04-22,286,39,3,0,8
85,2023-10-05,81,240,2,5,5
86,2023-03-19,85,223,2,5,12
87,2019-04-14,170,62,1,10,7
88,2023-08-01,194,141,1,0,1
89,2021-07-06,228,118,2,0,8
90,2021-10-15,162,115,3,15,12
91,2021-04-24,53,5,3,0,1
92,2023-06-10,1,141,3,10,12
93,2022-02-25,156,164,3,0,5
94,2021-01-14,234,172,1,20,11
95,2020-11-10,115,210,3,10,6
96,2022-09-07,243,154,3,0,4
97,2023-04-05,59,116,1,15,12
98,2023-08-27,175,1,2,15,11
99,2022-12-08,268,141,1,0,11
100,2019-10-15,85,230,3,20,6
101,2020-06-04,210,191,1,10,12
102,2020-03-17,62,49,1,5,1
103,2023-03-31,174,184,1,5,12
104,2021-07-25,64,238,3,15,6
105,2021-10-18,259,245,3,0,10
106,2021-06-05,25,189,3,20,5
107,2022-11-17,261,124,1,10,10
108,2021-03-04,66,188,3,15,12
109,2021-02-26,165,156,3,5,5
110,2021-03-25,128,235,2,0,7
111,2021-04-25,69,116,3,10,10
112,2023-09-23,263,227,3,15,7
113,2023-02-18,161,221,3,10,4
114,2022-07-02,103,56,2,15,3
115,2019-09-29,177,176,3,15,9
116,2022-01-16,92,250,3,15,5
117,2022-02-25,60,83,3,5,11
118,2023-03-12,214,147,3,20,9
119,2021-12-06,217,74,1,0,2
120,2022-10-04,75,98,1,0,2
121,2022-10-31,83,69,1,0,7
122,2023-05-26,32,215,1,0,4
123,2021-01-04,278,193,2,20,2
124,2023-03-01,288,27,3,15,3
125,2023-05-26,122,100,3,20,5
126,2021-03-04,25,74,3,5,1
127,2019-01-27,283,81,2,15,2
128,2022-07-21,227,52,3,15,3
129,2022-01-24,189,166,3,15,8
130,2021-07-08,100,51,3,0,7
131,2023-02-14,96,20,1,10,10
132,2020-07-25,21,97,2,10,1
133,2023-09-29,83,34,1,0,8
134,2019-11-14,239,85,1,0,4
135,2019-04-15,166,238,3,20,8
136,2023-06-06,155,158,3,10,6
137,2020-10-12,38,92,1,10,4
138,2019-05-20,95,245,3,20,5
139,2022-01-04,213,41,1,5,5
140,2022-09-20,114,90,2,0,3
141,2023-03-22,151,93,3,10,3
142,2019-01-19,288,122,3,0,9
143,2022-08-08,229,89,3,10,3
144,2020-10-19,21,63,1,5,9
145,2023-01-22,132,99,1,0,5
146,2021-11-19,265,234,3,20,11
147,2020-08-30,250,115,1,15,2
148,2019-07-16,264,83,3,0,12
149,2019-05-15,4,137,3,0,9
150,2021-05-18,110,162,1,20,9
151,2023-12-05,276,53,2,15,4
152,2022-11-06,37,166,1,0,4
153,2019-06-29,170,118,1,0,2
154,2019-05-25,129,46,1,10,5
155,2021-03-05,133,234,3,5,1
156,2019-02-04,222,104,3,5,11
157,2022-08-06,274,31,3,15,2
158,2022-12-06,300,17,1,20,2
159,2020-08-16,258,92,3,20,12
160,2023-04-17,45,78,2,5,7
161,2019-11-17,16,102,1,10,6
162,2020-08-27,201,35,1,15,5
163,2022-02-07,192,77,3,20,2
164,2019-01-11,64,37,3,10,2
165,2019-06-24,276,101,1,0,5
166,2021-04-25,177,192,3,15,3
167,2020-03-28,83,37,2,10,10
168,2022-10-06,59,50,3,20,10
169,2021-08-02,28,219,3,15,5
170,2019-05-18,149,19,1,0,9
171,2020-11-08,298,51,1,0,6
172,2020-08-06,121,172,1,10,12
173,2021-09-22,100,231,2,5,11
174,2022-04-11,157,158,3,0,4
175,2021-05-27,187,146,1,0,11
176,2022-12-29,127,81,3,15,3
177,2019-10-03,142,112,3,15,11
178,2021-07-01,246,85,2,0,6
179,2019-12-26,283,125,3,15,12
180,2022-01-08,144,21,2,0,10
181,2019-06-04,40,188,3,0,4
182,2022-03-31,16,162,3,5,8
183,2020-06-17,19,55,3,10,5
184,2021-03-14,77,121,3,0,11
185,2021-08-09,149,188,3,10,10
186,2021-10-25,204,24,3,0,11
187,2019-10-15,85,62,1,5,5
188,2022-09-12,290,46,1,20,8
189,2019-03-24,248,189,2,0,11
190,2021-01-26,33,60,1,0,7
191,2023-06-09,106,172,2,0,5
192,2019-03-23,233,121,2,15,2
193,2023-08-27,267,27,3,0,9
194,2022-03-13,297,68,2,0,5
195,2022-04-18,194,168,1,15,11
196,2020-04-01,129,133,2,10,1
197,2023-06-12,177,91,3,5,6
198,2021-06-19,257,2,1,0,10
199,2020-07-29,264,20,1,0,9
200,2022-05-17,81,48,1,15,11
201,2023-07-20,118,170,3,0,1
202,2021-09-07,247,30,1,5,9
203,2023-09-03,83,152,1,5,9
204,2022-03-20,23,63,1,10,10
205,2022-03-18,263,35,1,0,2
206,2021-11-24,133,43,3,5,10
207,2019-02-08,289,249,3,15,9
208,2020-03-19,146,170,3,5,12
209,2020-03-25,247,121,2,20,10
210,2023-08-08,74,154,1,20,8
211,2019-12-10,262,160,3,15,7
212,2022-04-24,233,88,1,0,8
213,2019-08-11,198,97,1,0,10
214,2021-05-09,259,134,1,20,9
215,2021-09-01,50,156,3,10,10
216,2023-03-21,273,10,1,0,5
